city,lat,lon,population
Santiago,-33.4372,-70.6506,7171000
Concepción,-36.8282,-73.0514,719944
Puente Alto,-33.6167,-70.5667,573935
Maipú,-33.5167,-70.7667,521627
La Florida,-33.5333,-70.5833,366916
Antofagasta,-23.65,-70.4,348517
Viña del Mar,-33.0244,-71.5517,332875
San Bernardo,-33.5833,-70.7,301313
Valparaíso,-33.0461,-71.6197,296655
Temuco,-38.7333,-72.6667,282415
Las Condes,-33.4117,-70.55,249893
Rancagua,-34.1667,-70.75,231370
Peñalolén,-33.4833,-70.55,216060
Talca,-35.4269,-71.6656,206069
Coquimbo,-29.9531,-71.3433,204068
Arica,-18.4778,-70.3181,202131
La Serena,-29.9,-71.25,195382
Iquique,-20.2167,-70.15,188003
Puerto Montt,-41.4667,-72.9333,169736
Chillán,-36.6,-72.1167,164270
Osorno,-40.5725,-73.1353,160000
Calama,-22.4667,-68.9333,157575
Copiapó,-27.3664,-70.3331,150804
Valdivia,-39.8139,-73.2458,150048
Quilpué,-33.05,-71.45,147991
Colina,-33.2017,-70.6703,146209
Los Ángeles,-37.4667,-72.35,143023
Curicó,-34.9833,-71.2333,136954
Punta Arenas,-53.1667,-70.9333,123403
Melipilla,-33.6253,-71.2711,108540
San Antonio,-33.5933,-71.6217,86239
Ovalle,-30.6,-71.2,75864
Linares,-35.85,-71.6,73602
Quillota,-32.8667,-71.25,73261
San Felipe,-32.75,-70.7239,64120
Coyhaique,-45.5667,-72.0667,61210
Los Andes,-32.8333,-70.6167,59388
San Fernando,-34.5833,-70.9833,58367
Talagante,-33.6667,-70.8667,56990
Angol,-37.8,-72.7167,48608
Vallenar,-28.5708,-70.7581,45298
Castro,-42.4667,-73.8,33417
La Unión,-40.2833,-73.0833,26517
Tocopilla,-22.0964,-70.2,24247
Lebu,-37.6,-73.6667,23722
Puerto Natales,-51.7333,-72.5167,21477
Illapel,-31.6333,-71.1667,20751
La Ligua,-32.45,-71.2167,19127
Puerto Aysén,-45.4,-72.6833,17441
Chañaral,-26.3444,-70.6219,13143
Pichilemu,-34.3919,-72.0139,12776
Pozo Almonte,-20.2667,-69.8,9277
Hanga Roa,-27.1333,-109.4167,7163
Porvenir,-53.2833,-70.3667,5992
Chaitén,-42.9167,-72.7,5071
Chile Chico,-46.5403,-71.7222,3129
Cochrane,-47.2547,-72.575,2789
Puerto Williams,-54.9333,-67.6167,1646
Putre,-18.1969,-69.5594,1366
Cauquenes,-35.9667,-72.35,45
